paradas, gimnasios, mochila, amplitud, promedio de tiempo, desviación estandar de tiempo 
3, 2, 7, 4, 12.0666666667, 2.40739601137
3, 2, 8, 0, 11.5333333333, 2.55255862921
3, 2, 8, 1, 11.4, 3.51757492221
3, 2, 8, 2, 10.6666666667, 2.4404006957
3, 2, 8, 3, 6.0, 3.24550971857
3, 2, 8, 4, 10.3333333333, 3.02581485811
3, 2, 9, 0, 11.8666666667, 1.96185852927
3, 2, 9, 1, 8.0, 3.50238014308
3, 2, 9, 2, 11.8666666667, 2.06128331117
3, 2, 9, 3, 11.1333333333, 3.13829394558
3, 2, 9, 4, 5.8, 3.08112533554
4, 0, 0, 0, 5.33333333333, 1.34989711542
4, 0, 0, 1, 4.26666666667, 0.771722460186
4, 0, 0, 2, 4.66666666667, 1.39841179756
4, 0, 0, 3, 4.46666666667, 1.35973853696
4, 0, 0, 4, 3.8, 1.97315314493
4, 0, 1, 0, 5.06666666667, 1.38884444373
4, 0, 1, 1, 5.33333333333, 1.1352924244
4, 0, 1, 2, 5.0, 2.82842712475
4, 0, 1, 3, 4.53333333333, 1.96185852927
4, 0, 1, 4, 5.06666666667, 1.48174071806
4, 0, 2, 0, 5.53333333333, 2.02868320729
4, 0, 2, 1, 7.4, 6.63123920043
4, 0, 2, 2, 5.2, 1.72046505341
4, 0, 2, 3, 5.4, 1.40475383371
4, 0, 2, 4, 4.4, 1.54056266777
4, 0, 3, 0, 6.33333333333, 1.81352940116
4, 0, 3, 1, 5.73333333333, 0.928559218479
4, 0, 3, 2, 5.33333333333, 1.44529889258
4, 0, 3, 3, 7.13333333333, 1.54344492037
4, 0, 3, 4, 6.8, 4.1825032377
4, 0, 4, 0, 5.6, 1.01980390272
4, 0, 4, 1, 5.46666666667, 1.35973853696
4, 0, 4, 2, 6.26666666667, 1.94821855949
4, 0, 4, 3, 3.6, 1.95959179423
4, 0, 4, 4, 4.8, 1.4236104336
4, 0, 5, 0, 6.4, 2.24499443206
4, 0, 5, 1, 6.06666666667, 1.48174071806
4, 0, 5, 2, 3.53333333333, 2.02868320729
4, 0, 5, 3, 6.53333333333, 1.89267594221
4, 0, 5, 4, 3.66666666667, 1.57762127549
4, 0, 6, 0, 7.2, 2.03960780544
4, 0, 6, 1, 2.46666666667, 1.25786415094
4, 0, 6, 2, 5.06666666667, 4.41915024511
4, 0, 6, 3, 7.53333333333, 1.30979218029
4, 0, 6, 4, 5.4, 1.08320512062
4, 0, 7, 0, 2.46666666667, 0.618241233033
4, 0, 7, 1, 5.33333333333, 2.57336787542
4, 0, 7, 2, 6.2, 2.4276188608
4, 0, 7, 3, 5.2, 3.2903900478
4, 0, 7, 4, 7.6, 1.8547236991
4, 0, 8, 0, 5.73333333333, 2.37954243968
4, 0, 8, 1, 5.4, 1.49666295471
4, 0, 8, 2, 6.26666666667, 2.14372469211
