Cantidad de gimnasios, Tiempo
108, 30245362.000000
108, 23808717.000000
108, 21956515.000000
108, 23233343.000000
109, 25674969.000000
109, 29859957.000000
109, 28115124.000000
109, 24935432.000000
110, 21620818.000000
110, 25263213.000000
110, 25563727.000000
110, 24521272.000000
111, 24438961.000000
111, 24696686.000000
111, 28652829.000000
111, 25447438.000000
112, 28049823.000000
112, 26527228.000000
112, 24924878.000000
112, 24309336.000000
113, 25051009.000000
113, 27259672.000000
113, 26771383.000000
113, 25212811.000000
114, 24745543.000000
114, 27996733.000000
114, 28046761.000000
114, 25448982.000000
115, 28131025.000000
115, 27900924.000000
115, 27387173.000000
115, 30441860.000000
116, 27487696.000000
116, 29787575.000000
116, 32728944.000000
116, 26340551.000000
117, 26516521.000000
117, 26311210.000000
117, 27091823.000000
117, 29334346.000000
118, 28420655.000000
118, 31195883.000000
118, 30331628.000000
118, 28946482.000000
119, 27381099.000000
119, 24147387.000000
119, 27875061.000000
119, 28774053.000000
120, 28800068.000000
120, 28672064.000000
120, 27189892.000000
120, 30162439.000000
121, 31458816.000000
121, 32418857.000000
121, 34464232.000000
121, 27653537.000000
122, 29645589.000000
122, 30290313.000000
122, 32314572.000000
122, 33831967.000000
123, 30173131.000000
123, 27971516.000000
123, 27596035.000000
123, 28366270.000000
124, 27450637.000000
124, 29834335.000000
124, 32750276.000000
124, 31535962.000000
125, 33230967.000000
125, 33268021.000000
125, 28905475.000000
125, 28127120.000000
126, 28271308.000000
126, 31492856.000000
126, 34636997.000000
126, 29555063.000000
127, 34623901.000000
127, 29713393.000000
127, 31586017.000000
127, 33376595.000000
128, 31443838.000000
128, 31871559.000000
128, 32296399.000000
128, 29511804.000000
129, 34223206.000000
129, 32159371.000000
129, 27130507.000000
129, 34610417.000000
130, 35787745.000000
130, 32928806.000000
130, 28748905.000000
130, 38141634.000000
131, 37075619.000000
131, 31806341.000000
131, 38519757.000000
131, 36039068.000000
132, 35201720.000000
132, 37014472.000000
132, 32666606.000000
132, 33224817.000000
133, 32756842.000000
133, 36192028.000000
133, 34862166.000000
133, 36048760.000000
134, 31690198.000000
134, 36204348.000000
134, 34931734.000000
134, 32772804.000000
135, 34373483.000000
135, 36022018.000000
135, 34383336.000000
135, 37057102.000000
136, 29343084.000000
136, 39299879.000000
136, 37112810.000000
136, 35516762.000000
137, 30460346.000000
137, 28484063.000000
137, 30773766.000000
137, 40447243.000000
138, 38342957.000000
138, 31025970.000000
138, 30880479.000000
138, 41417999.000000
139, 41364657.000000
139, 39993744.000000
139, 36357634.000000
139, 39484812.000000
140, 39199452.000000
140, 33278512.000000
