Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2,Pociones Gimnasio
6, 6, 6, 1, 237108.000000, 41114, 9504, 12, 4, 1986, 4, 3
6, 6, 6, 2, 241283.000000, 41114, 9504, 12, 4, 1986, 4, 3
6, 6, 6, 3, 242740.000000, 41114, 9504, 12, 4, 1986, 4, 3
6, 6, 6, 4, 245202.000000, 41114, 9504, 12, 4, 1986, 4, 3
13, 1, 6, 0, 1803940.000000, 319366, 53246, 14, 4, 13, 133, 0
13, 1, 6, 1, 1772268.000000, 319366, 53246, 14, 4, 13, 133, 0
13, 1, 6, 2, 1782324.000000, 319366, 53246, 14, 4, 13, 133, 0
13, 1, 6, 3, 1771998.000000, 319366, 53246, 14, 4, 13, 133, 0
13, 1, 6, 4, 1786466.000000, 319366, 53246, 14, 4, 13, 133, 0
7, 7, 6, 0, 3583192.000000, 735517, 144805, 10, 4, 39032, 32349, 1
7, 7, 6, 1, 3592386.000000, 735517, 144805, 10, 4, 39032, 32349, 1
7, 7, 6, 2, 3588827.000000, 735517, 144805, 10, 4, 39032, 32349, 1
7, 7, 6, 3, 3591500.000000, 735517, 144805, 10, 4, 39032, 32349, 1
7, 7, 6, 4, 3576132.000000, 735517, 144805, 10, 4, 39032, 32349, 1
7, 7, 6, 0, 3049602.000000, 607072, 120561, 12, 4, 19348, 7321, 2
7, 7, 6, 1, 3079041.000000, 607072, 120561, 12, 4, 19348, 7321, 2
7, 7, 6, 2, 3037385.000000, 607072, 120561, 12, 4, 19348, 7321, 2
7, 7, 6, 3, 3069757.000000, 607072, 120561, 12, 4, 19348, 7321, 2
7, 7, 6, 4, 3067424.000000, 607072, 120561, 12, 4, 19348, 7321, 2
7, 7, 6, 0, 1256578.000000, 213652, 42042, 14, 4, 9016, 30, 3
7, 7, 6, 1, 1247819.000000, 213652, 42042, 14, 4, 9016, 30, 3
7, 7, 6, 2, 1240733.000000, 213652, 42042, 14, 4, 9016, 30, 3
7, 7, 6, 3, 1249429.000000, 213652, 42042, 14, 4, 9016, 30, 3
7, 7, 6, 4, 1236838.000000, 213652, 42042, 14, 4, 9016, 30, 3
13, 1, 6, 0, 1777054.000000, 319496, 53249, 14, 4, 13, 6, 0
13, 1, 6, 1, 1773826.000000, 319496, 53249, 14, 4, 13, 6, 0
13, 1, 6, 2, 1777701.000000, 319496, 53249, 14, 4, 13, 6, 0
13, 1, 6, 3, 1806326.000000, 319496, 53249, 14, 4, 13, 6, 0
13, 1, 6, 4, 1818908.000000, 319496, 53249, 14, 4, 13, 6, 0
7, 7, 6, 0, 3487898.000000, 717788, 144523, 10, 4, 38954, 49168, 1
7, 7, 6, 1, 3510490.000000, 717788, 144523, 10, 4, 38954, 49168, 1
7, 7, 6, 2, 3517229.000000, 717788, 144523, 10, 4, 38954, 49168, 1
7, 7, 6, 3, 3516029.000000, 717788, 144523, 10, 4, 38954, 49168, 1
7, 7, 6, 4, 3517730.000000, 717788, 144523, 10, 4, 38954, 49168, 1
7, 7, 6, 0, 3074758.000000, 603050, 120534, 12, 4, 19351, 11282, 2
7, 7, 6, 1, 3034849.000000, 603050, 120534, 12, 4, 19351, 11282, 2
7, 7, 6, 2, 3024161.000000, 603050, 120534, 12, 4, 19351, 11282, 2
7, 7, 6, 3, 3015786.000000, 603050, 120534, 12, 4, 19351, 11282, 2
7, 7, 6, 4, 3041536.000000, 603050, 120534, 12, 4, 19351, 11282, 2
7, 7, 6, 0, 1246866.000000, 213679, 42042, 14, 4, 9016, 3, 3
7, 7, 6, 1, 1246380.000000, 213679, 42042, 14, 4, 9016, 3, 3
7, 7, 6, 2, 1245556.000000, 213679, 42042, 14, 4, 9016, 3, 3
7, 7, 6, 3, 1236754.000000, 213679, 42042, 14, 4, 9016, 3, 3
7, 7, 6, 4, 1252535.000000, 213679, 42042, 14, 4, 9016, 3, 3
15, 1, 6, 0, 9909386.000000, 1720278, 245760, 16, 4, 15, 57, 0
15, 1, 6, 1, 9899271.000000, 1720278, 245760, 16, 4, 15, 57, 0
15, 1, 6, 2, 9863968.000000, 1720278, 245760, 16, 4, 15, 57, 0
15, 1, 6, 3, 9979537.000000, 1720278, 245760, 16, 4, 15, 57, 0
15, 1, 6, 4, 9854330.000000, 1720278, 245760, 16, 4, 15, 57, 0
8, 8, 6, 0, 21606340.000000, 4275040, 733020, 11, 4, 181890, 294044, 1
