Cantidad de gimnasios, Cantidad de pokeparadas, Capacidad mochila, Diferencia
6, 5, 79, 4.005896
6, 5, 79, 9.358538
6, 5, 80, 2.805737
6, 5, 80, 4.800137
6, 5, 80, 16.363451
6, 5, 80, 3.093977
6, 5, 81, 9.81466
6, 5, 81, 9.063324
6, 5, 81, 15.56657
6, 5, 81, 14.433239
6, 5, 82, 4.783172
6, 5, 82, 0.0
6, 5, 82, 9.722038
6, 5, 82, 3.960642
6, 5, 83, 4.531761
6, 5, 83, 0.513105
6, 5, 83, 7.041753
6, 5, 83, 11.6405
6, 5, 84, 3.818024
6, 5, 84, 5.307994
6, 5, 84, 7.044727
6, 5, 84, 7.689387
6, 5, 85, 5.083933
6, 5, 85, 8.225401
6, 5, 85, 4.403242
6, 5, 85, 5.820482
6, 5, 86, 9.193532
6, 5, 86, 11.428971
6, 5, 86, 15.681296
6, 5, 86, 12.964421
6, 5, 87, 0.38165
6, 5, 87, 3.010668
6, 5, 87, 10.865427
6, 5, 87, 3.909058
6, 5, 88, 10.530059
6, 5, 88, 12.153745
6, 5, 88, 7.60896
6, 5, 88, 8.355366
6, 5, 89, 5.51134
6, 5, 89, 6.919695
6, 5, 89, 0.0
6, 5, 89, 5.307478
6, 5, 90, 6.978438
6, 5, 90, 5.878233
6, 5, 90, 14.522641
6, 5, 90, 4.250828
6, 5, 91, 21.737789
6, 5, 91, 4.113651
6, 5, 91, 7.473652
6, 5, 91, 2.400333
6, 5, 92, 8.532915
6, 5, 92, 1.554248
6, 5, 92, 3.547423
6, 5, 92, 8.704373
6, 5, 93, 2.630517
6, 5, 93, 2.098709
6, 5, 93, 14.437209
6, 5, 93, 7.620806
6, 5, 94, 5.875237
6, 5, 94, 8.206693
6, 5, 94, 5.734053
6, 5, 94, 4.32067
6, 5, 95, 4.984132
6, 5, 95, 7.382409
6, 5, 95, 7.292068
6, 5, 95, 7.949289
6, 5, 96, 6.209956
6, 5, 96, 5.229597
6, 5, 96, 10.578322
6, 5, 96, 9.460125
6, 5, 97, 4.335087
6, 5, 97, 12.595307
6, 5, 97, 15.845713
6, 5, 97, 9.934019
6, 5, 98, 8.896333
6, 5, 98, 0.0
6, 5, 98, 16.098249
6, 5, 98, 10.075867
6, 5, 99, 9.193609
6, 5, 99, 5.375647
6, 5, 99, 10.926372
6, 5, 99, 15.335691
6, 5, 100, 6.612124
6, 5, 100, 0.0
6, 5, 100, 6.395821
6, 5, 100, 3.079254
6, 5, 101, 0.443262
6, 5, 101, 3.142699
6, 5, 101, 6.29693
6, 5, 101, 2.175812
6, 5, 102, 6.693903
6, 5, 102, 9.760195
6, 5, 102, 13.481578
6, 5, 102, 0.690142
6, 5, 103, 8.007436
6, 5, 103, 1.748064
6, 5, 103, 0.0
6, 5, 103, 8.666227
6, 5, 104, 12.306772
6, 5, 104, 6.973043
6, 5, 104, 8.833286
6, 5, 104, 7.64748
6, 5, 105, 4.829228
6, 5, 105, 0.0
6, 5, 105, 5.257821
6, 5, 105, 5.880713
6, 5, 106, 0.089416
6, 5, 106, 3.737217
6, 5, 106, 6.32405
6, 5, 106, 11.449929
6, 5, 107, 16.467123
6, 5, 107, 0.92621
6, 5, 107, 10.092218
6, 5, 107, 10.404737
6, 5, 108, 5.464908
6, 5, 108, 6.429404
6, 5, 108, 4.810035
6, 5, 108, 7.503642
6, 5, 109, 12.040332
6, 5, 109, 4.127618
6, 5, 109, 4.305246
6, 5, 109, 8.525002
6, 5, 110, 4.538333
6, 5, 110, 7.203288
6, 5, 110, 0.0
6, 5, 110, 1.880192
6, 5, 111, 6.89061
6, 5, 111, 6.245539
6, 5, 111, 1.057798
