Cantidad de paradas, Capacidad de mochila, Tiempo
122, 5, 1237456.000000
123, 5, 1730765.000000
123, 5, 3692324.000000
123, 5, 3483706.000000
123, 5, 1168784.000000
124, 5, 1434008.000000
124, 5, 3088196.000000
124, 5, 2107766.000000
124, 5, 2340835.000000
125, 5, 3364748.000000
125, 5, 2217080.000000
125, 5, 3862480.000000
125, 5, 1741218.000000
126, 5, 1654012.000000
126, 5, 2918344.000000
126, 5, 1979476.000000
126, 5, 3308838.000000
127, 5, 3677918.000000
127, 5, 3395730.000000
127, 5, 1596754.000000
127, 5, 4312281.000000
128, 5, 4383783.000000
128, 5, 1560389.000000
128, 5, 2201374.000000
128, 5, 2265549.000000
129, 5, 2477884.000000
129, 5, 3628405.000000
129, 5, 2425425.000000
129, 5, 2468766.000000
130, 5, 1780801.000000
130, 5, 1643312.000000
130, 5, 2685910.000000
130, 5, 2471788.000000
131, 5, 1712812.000000
131, 5, 3003282.000000
131, 5, 3573637.000000
131, 5, 3209809.000000
132, 5, 1960838.000000
132, 5, 2200807.000000
132, 5, 1892205.000000
132, 5, 2146112.000000
133, 5, 2089383.000000
133, 5, 3339497.000000
133, 5, 1858931.000000
133, 5, 3924396.000000
134, 5, 2988840.000000
134, 5, 3125445.000000
134, 5, 2951203.000000
134, 5, 2274239.000000
135, 5, 3243575.000000
135, 5, 2580499.000000
135, 5, 4137616.000000
135, 5, 2719481.000000
136, 5, 2536480.000000
136, 5, 2062940.000000
136, 5, 1645384.000000
136, 5, 4216924.000000
137, 5, 3972548.000000
137, 5, 1439870.000000
137, 5, 2572915.000000
137, 5, 4127940.000000
138, 5, 1850273.000000
138, 5, 4351468.000000
138, 5, 3777816.000000
138, 5, 2742377.000000
139, 5, 3084327.000000
139, 5, 2293894.000000
139, 5, 2515172.000000
139, 5, 3223788.000000
140, 5, 2794442.000000
140, 5, 5039556.000000
140, 5, 3569755.000000
140, 5, 2515652.000000
141, 5, 2973163.000000
141, 5, 3529366.000000
141, 5, 4648651.000000
141, 5, 2949283.000000
142, 5, 3234612.000000
142, 5, 3676145.000000
142, 5, 1851928.000000
142, 5, 1797028.000000
143, 5, 3709402.000000
143, 5, 3457136.000000
143, 5, 3561044.000000
143, 5, 2734690.000000
144, 5, 3741053.000000
144, 5, 4063687.000000
144, 5, 10010750.000000
144, 5, 3374403.000000
145, 5, 2998015.000000
145, 5, 2948279.000000
145, 5, 2785005.000000
145, 5, 2240832.000000
146, 5, 2930255.000000
146, 5, 4039821.000000
146, 5, 5724565.000000
146, 5, 4876474.000000
147, 5, 2826313.000000
147, 5, 5733364.000000
147, 5, 4079209.000000
147, 5, 3469031.000000
148, 5, 3537919.000000
148, 5, 3650948.000000
148, 5, 4874025.000000
148, 5, 3131245.000000
149, 5, 2770376.000000
149, 5, 3706938.000000
149, 5, 4872080.000000
149, 5, 3798247.000000
150, 5, 3785894.000000
150, 5, 9941900.000000
150, 5, 2621428.000000
150, 5, 3647135.000000
151, 5, 2599601.000000
151, 5, 2242429.000000
151, 5, 4291794.000000
151, 5, 10007794.000000
152, 5, 4446987.000000
152, 5, 4096559.000000
152, 5, 3543679.000000
152, 5, 4013324.000000
153, 5, 4406539.000000
153, 5, 4452791.000000
153, 5, 2168642.000000
153, 5, 3128766.000000
154, 5, 3168375.000000
154, 5, 3302657.000000
154, 5, 2679868.000000
154, 5, 3842012.000000
155, 5, 5306058.000000
155, 5, 4727784.000000
155, 5, 2197623.000000
155, 5, 5793014.000000
156, 5, 2006309.000000
156, 5, 4653964.000000
156, 5, 3957357.000000
