Cantidad de paradas, Capacidad de mochila, Tiempo
5, 18, 3847.000000
5, 18, 3995.000000
5, 18, 4159.000000
5, 18, 4236.000000
5, 18, 3969.000000
5, 18, 4999.000000
5, 18, 5217.000000
5, 18, 5245.000000
5, 18, 5228.000000
5, 18, 5347.000000
5, 18, 5100.000000
5, 18, 5284.000000
5, 18, 4844.000000
5, 18, 5229.000000
5, 18, 5081.000000
5, 19, 4428.000000
5, 19, 4170.000000
5, 19, 4122.000000
5, 19, 4071.000000
5, 19, 4009.000000
5, 19, 5598.000000
5, 19, 5112.000000
5, 19, 4881.000000
5, 19, 5378.000000
5, 19, 4880.000000
5, 19, 4814.000000
5, 19, 4679.000000
5, 19, 5191.000000
5, 19, 4895.000000
5, 19, 4858.000000
5, 19, 3346.000000
5, 19, 3582.000000
5, 19, 3531.000000
5, 19, 3676.000000
5, 19, 3826.000000
5, 20, 4707.000000
5, 20, 4777.000000
5, 20, 4978.000000
5, 20, 5153.000000
5, 20, 4744.000000
5, 20, 4972.000000
5, 20, 4971.000000
5, 20, 5449.000000
5, 20, 5017.000000
5, 20, 5281.000000
5, 20, 5001.000000
5, 20, 5184.000000
5, 20, 5129.000000
5, 20, 5096.000000
5, 20, 5288.000000
5, 20, 6068.000000
5, 20, 5465.000000
5, 20, 5512.000000
5, 20, 5497.000000
5, 20, 5648.000000
5, 21, 4826.000000
5, 21, 4414.000000
5, 21, 4389.000000
5, 21, 4636.000000
5, 21, 4797.000000
5, 21, 5366.000000
5, 21, 5211.000000
5, 21, 5464.000000
5, 21, 5320.000000
5, 21, 5252.000000
5, 21, 5750.000000
5, 21, 5985.000000
5, 21, 6269.000000
5, 21, 6347.000000
5, 21, 6698.000000
5, 21, 4924.000000
5, 21, 5159.000000
5, 21, 5111.000000
5, 21, 5056.000000
5, 21, 5198.000000
5, 22, 5303.000000
5, 22, 5358.000000
5, 22, 5447.000000
5, 22, 5786.000000
5, 22, 5162.000000
5, 22, 4689.000000
5, 22, 4572.000000
5, 22, 4556.000000
5, 22, 4777.000000
5, 22, 4649.000000
5, 22, 5737.000000
5, 22, 5746.000000
5, 22, 5878.000000
5, 22, 5624.000000
5, 22, 5844.000000
5, 22, 5849.000000
5, 22, 5989.000000
5, 22, 5708.000000
5, 22, 5810.000000
5, 22, 6016.000000
5, 23, 4439.000000
5, 23, 4413.000000
5, 23, 4636.000000
5, 23, 4602.000000
5, 23, 4343.000000
5, 23, 4284.000000
5, 23, 4156.000000
5, 23, 4494.000000
5, 23, 5031.000000
5, 23, 4201.000000
5, 23, 4107.000000
